TYPEQU,REG,DEP,UU2020,AAV2020,BV2012,EPCI,DEPCOM,PRES_2016,PRES_2021
D203,84,1,1303,243,1004,240100883,1004,1,0
D303,84,1,1303,243,1004,240100883,1004,1,0
F104,84,1,1303,243,1004,240100883,1004,1,0
B316,84,1,CSZ,2,69123,200042497,1005,1,0
D231,84,1,CSZ,2,69123,200042497,1005,1,0
A206,84,1,CSZ,243,1004,240100883,1007,1,0
B301,84,1,CSZ,243,1004,240100883,1007,1,0
A501,84,1,CSZ,286,1034,200040350,1009,1,0
A301,84,1,CSZ,243,1004,240100883,1013,1,0
A206,84,1,1402,168,1283,200042935,1014,1,0
B101,84,1,1402,168,1283,200042935,1014,1,0
B102,84,1,1402,168,1283,200042935,1014,1,0
B301,84,1,1402,168,1283,200042935,1014,1,0
D303,84,1,1402,168,1283,200042935,1014,1,0
F103,84,1,CSZ,286,1034,200040350,1015,1,0
A207,84,1,CSZ,CSZ,1185,240100883,1017,1,0
G104,84,1,CSZ,2,69123,200042497,1021,1,0
A01G,84,1,CSZ,286,1034,200040350,1022,1,0
A507,84,1,CSZ,286,1034,200040350,1022,1,0
B308,84,1,CSZ,286,1034,200040350,1022,1,0
G102,84,1,CSZ,286,1034,200040350,1022,1,0
A206,84,1,1113,80,1266,200071751,1024,1,0
E101,84,1,1201,84,71270,200071371,1025,1,0
B102,84,1,1201,84,71270,200071371,1026,1,0
E101,84,1,1201,84,71270,200071371,1026,1,0
G104,84,1,1201,84,71270,200071371,1026,1,0
D233,84,1,1202,2,69123,240100610,1027,1,0
D303,84,1,1202,2,69123,240100610,1027,1,0
D232,84,1,CSZ,80,39475,200071751,1029,1,0
A208,84,1,760,2,69123,200042497,1030,1,0
A301,84,1,760,2,69123,200042497,1030,1,0
A206,84,1,1402,168,1283,200042935,1031,1,0
F101,84,1,1202,2,69123,240100610,1032,1,0
F114,84,1,1202,2,69123,240100610,1032,1,0
F120,84,1,1202,2,69123,240100610,1032,1,0
