TYPEQU,REG,DEP,UU2020,AAV2020,BV2012,EPCI,DEPCOM,PRES_2016,PRES_2021,TYPEQU_TEXT
D203,84,1,1303,243,1004,240100883,1004,1,0,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE
D303,84,1,1303,243,1004,240100883,1004,1,0,AMBULANCE
F104,84,1,1303,243,1004,240100883,1004,1,0,ÉQUIPEMENT DE CYCLISME
B316,84,1,CSZ,2,69123,200042497,1005,1,0,STATION-SERVICE
D231,84,1,CSZ,2,69123,200042497,1005,1,0,SAGE-FEMME
A206,84,1,CSZ,243,1004,240100883,1007,1,0,BUREAU DE POSTE
B301,84,1,CSZ,243,1004,240100883,1007,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
A501,84,1,CSZ,286,1034,200040350,1009,1,0,COIFFURE
A301,84,1,CSZ,243,1004,240100883,1013,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
A206,84,1,1402,168,1283,200042935,1014,1,0,BUREAU DE POSTE
B101,84,1,1402,168,1283,200042935,1014,1,0,HYPERMARCHÉ
B102,84,1,1402,168,1283,200042935,1014,1,0,SUPERMARCHÉ
B301,84,1,1402,168,1283,200042935,1014,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
D303,84,1,1402,168,1283,200042935,1014,1,0,AMBULANCE
F103,84,1,CSZ,286,1034,200040350,1015,1,0,TENNIS
A207,84,1,CSZ,CSZ,1185,240100883,1017,1,0,RELAIS POSTE
G104,84,1,CSZ,2,69123,200042497,1021,1,0,INFORMATION TOURISTIQUE
A01G,84,1,CSZ,286,1034,200040350,1022,1,0,DRFIP ET DDFIP
A507,84,1,CSZ,286,1034,200040350,1022,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
B308,84,1,CSZ,286,1034,200040350,1022,1,0,MAGASIN DE REVÊTEMENTS MURS ET SOLS
G102,84,1,CSZ,286,1034,200040350,1022,1,0,HÔTEL
A206,84,1,1113,80,1266,200071751,1024,1,0,BUREAU DE POSTE
E101,84,1,1201,84,71270,200071371,1025,1,0,TAXI-VTC
B102,84,1,1201,84,71270,200071371,1026,1,0,SUPERMARCHÉ
E101,84,1,1201,84,71270,200071371,1026,1,0,TAXI-VTC
G104,84,1,1201,84,71270,200071371,1026,1,0,INFORMATION TOURISTIQUE
D233,84,1,1202,2,69123,240100610,1027,1,0,MASSEUR KINÉSITHÉRAPEUTE
D303,84,1,1202,2,69123,240100610,1027,1,0,AMBULANCE
D232,84,1,CSZ,80,39475,200071751,1029,1,0,INFIRMIER
A208,84,1,760,2,69123,200042497,1030,1,0,AGENCE POSTALE
A301,84,1,760,2,69123,200042497,1030,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
A206,84,1,1402,168,1283,200042935,1031,1,0,BUREAU DE POSTE
F101,84,1,1202,2,69123,240100610,1032,1,0,BASSIN DE NATATION
F114,84,1,1202,2,69123,240100610,1032,1,0,SALLES DE COMBAT
F120,84,1,1202,2,69123,240100610,1032,1,0,SALLES DE REMISE EN FORME
F121,84,1,1202,2,69123,240100610,1032,1,0,SALLES MULTISPORTS (GYMNASES)
D108,84,1,360,GEN,1033,240100891,1033,1,0,CENTRE DE SANTÉ
D206,84,1,360,GEN,1033,240100891,1033,1,0,SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE
D209,84,1,360,GEN,1033,240100891,1033,1,0,SPÉCIALISTE EN OTO-RHINO-LARYNGOLOGIE
D214,84,1,360,GEN,1033,240100891,1033,1,0,SPÉCIALISTE EN GYNÉCOLOGIE (MÉDICALE ET/OU OBSTÉTRIQUE)
D236,84,1,360,GEN,1033,240100891,1033,1,0,ORTHOPTISTE
B103,84,1,1301,286,1034,200040350,1034,1,0,GRANDE SURFACE DE BRICOLAGE
B304,84,1,1301,286,1034,200040350,1034,1,0,MAGASIN DE CHAUSSURES
D209,84,1,1301,286,1034,200040350,1034,1,0,SPÉCIALISTE EN OTO-RHINO-LARYNGOLOGIE
F120,84,1,1301,286,1034,200040350,1034,1,0,SALLES DE REMISE EN FORME
F103,84,1,CSZ,168,1283,200042935,1035,1,0,TENNIS
A507,84,1,CSZ,286,1034,200040350,1036,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
A207,84,1,CSZ,80,1266,200071751,1040,1,0,RELAIS POSTE
D232,84,1,CSZ,80,1266,200071751,1040,1,0,INFIRMIER
A207,84,1,CSZ,243,1004,240100883,1041,1,0,RELAIS POSTE
E101,84,1,CSZ,CSZ,1457,200070555,1046,1,0,TAXI-VTC
D703,84,1,CSZ,2,1202,240100883,1047,1,0,CHRS : CENTRE D’HÉBERGEMENT ET DE RÉINSERTION SOCIALE
D709,84,1,CSZ,2,1202,240100883,1047,1,0,AUTRES ÉTABLISSEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ
A302,84,1,760,2,69123,240100610,1049,1,0,CONTRÔLE TECHNIQUE AUTOMOBILE
A506,84,1,760,2,69123,240100610,1049,1,0,PRESSING-LAVERIE AUTOMATIQUE
D701,84,1,760,2,69123,240100610,1049,1,0,PROTECTION DE L’ENFANCE - HÉBERGEMENT
A301,84,1,CSZ,2,1443,200069193,1052,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
B308,84,1,1501,80,1053,200071751,1053,1,0,MAGASIN DE REVÊTEMENTS MURS ET SOLS
G103,84,1,1501,80,1053,200071751,1053,1,0,CAMPING
E101,84,1,CSZ,84,1305,200071371,1057,1,0,TAXI-VTC
B315,84,1,CSZ,CSZ,38012,200040350,1058,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
D201,84,1,CSZ,CSZ,38012,200040350,1058,1,0,MÉDECIN GÉNÉRALISTE
A104,84,1,CSZ,572,1185,200042935,1060,1,0,GENDARMERIE
D201,84,1,CSZ,572,1185,200042935,1060,1,0,MÉDECIN GÉNÉRALISTE
F116,84,1,1301,286,1034,200040350,1061,1,0,SALLES NON SPÉCIALISÉES
A501,84,1,CSZ,2,69123,240100610,1062,1,0,COIFFURE
A507,84,1,1203,168,1269,200042935,1063,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
F111,84,1,1203,168,1269,200042935,1063,1,0,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS
A207,84,1,1108,80,1053,200071751,1065,1,0,RELAIS POSTE
B206,84,1,1108,80,1053,200071751,1065,1,0,POISSONNERIE
B203,84,1,CSZ,CSZ,1004,200029999,1068,1,0,BOULANGERIE
B313,84,1,1116,80,1053,200071751,1069,1,0,MAGASIN D’OPTIQUE
A302,84,1,1401,GEN,1173,240100750,1071,1,0,CONTRÔLE TECHNIQUE AUTOMOBILE
B301,84,1,1123,80,1053,200071751,1072,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
G104,84,1,1123,80,1053,200071751,1072,1,0,INFORMATION TOURISTIQUE
B102,84,1,1105,2,1244,200069193,1074,1,0,SUPERMARCHÉ
B103,84,1,1105,2,1244,200069193,1074,1,0,GRANDE SURFACE DE BRICOLAGE
D233,84,1,1105,2,1244,200069193,1074,1,0,MASSEUR KINÉSITHÉRAPEUTE
D303,84,1,CSZ,2,69123,200070118,1075,1,0,AMBULANCE
A501,84,1,CSZ,CSZ,1004,200029999,1077,1,0,COIFFURE
A507,84,1,CSZ,GEN,74012,240100750,1078,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
B203,84,1,CSZ,GEN,74012,240100750,1078,1,0,BOULANGERIE
F103,84,1,CSZ,CSZ,1034,200040350,1079,1,0,TENNIS
D243,84,1,CSZ,572,1185,200042935,1080,1,0,PSYCHOLOGUE
G102,84,1,CSZ,CSZ,1033,240100891,1081,1,0,HÔTEL
E101,84,1,CSZ,2,1443,200069193,1085,1,0,TAXI-VTC
G102,84,1,CSZ,168,1269,200042935,1087,1,0,HÔTEL
G103,84,1,CSZ,168,1269,200042935,1087,1,0,CAMPING
D605,84,1,CSZ,2,1244,240100883,1088,1,0,TRAVAIL PROTÉGÉ
B315,84,1,CSZ,2,1004,240100883,1089,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
A501,84,1,CSZ,CSZ,1244,200069193,1090,1,0,COIFFURE
D201,84,1,1104,2,1004,200069193,1092,1,0,MÉDECIN GÉNÉRALISTE
F102,84,1,1104,2,1004,200069193,1092,1,0,BOULODROME
F113,84,1,1104,2,1004,200069193,1092,1,0,TERRAINS DE GRANDS JEUX
A506,84,1,1130,524,1093,200069193,1093,1,0,PRESSING-LAVERIE AUTOMATIQUE
D108,84,1,1130,524,1093,200069193,1093,1,0,CENTRE DE SANTÉ
D236,84,1,1130,524,1093,200069193,1093,1,0,ORTHOPTISTE
A501,84,1,CSZ,84,1305,200071371,1094,1,0,COIFFURE
D201,84,1,CSZ,80,1053,200071751,1095,1,0,MÉDECIN GÉNÉRALISTE
A507,84,1,CSZ,80,1457,200070555,1096,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
E101,84,1,CSZ,286,1034,200040350,1098,1,0,TAXI-VTC
A501,84,1,CSZ,2,1244,240100883,1099,1,0,COIFFURE
D235,84,1,CSZ,2,1244,240100883,1099,1,0,ORTHOPHONISTE
D401,84,1,CSZ,2,1244,240100883,1099,1,0,PERSONNES ÂGÉES : HÉBERGEMENT
G102,84,1,CSZ,2,1244,240100883,1099,1,0,HÔTEL
G104,84,1,CSZ,286,1034,200040350,1100,1,0,INFORMATION TOURISTIQUE
A301,84,1,1122,GEN,74012,240100750,1103,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
G102,84,1,CSZ,CSZ,1033,240100750,1104,1,0,HÔTEL
A507,84,1,CSZ,2,69123,200042497,1105,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
G101,84,1,CSZ,243,1004,240100883,1107,1,0,AGENCE DE VOYAGE
A206,84,1,CSZ,80,39475,200071751,1108,1,0,BUREAU DE POSTE
D221,84,1,CSZ,80,39475,200071751,1108,1,0,CHIRURGIEN DENTISTE
D233,84,1,CSZ,80,39475,200071751,1108,1,0,MASSEUR KINÉSITHÉRAPEUTE
D303,84,1,CSZ,80,39475,200071751,1108,1,0,AMBULANCE
G101,84,1,CSZ,80,39475,200071751,1108,1,0,AGENCE DE VOYAGE
D221,84,1,CSZ,GEN,1033,240100750,1109,1,0,CHIRURGIEN DENTISTE
B102,84,1,CSZ,80,1266,200071751,1115,1,0,SUPERMARCHÉ
A301,84,1,CSZ,286,1034,200040350,1116,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
B203,84,1,CSZ,84,71090,200070555,1123,1,0,BOULANGERIE
A301,84,1,CSZ,168,1053,200071751,1125,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
D201,84,1,CSZ,168,1053,200071751,1125,1,0,MÉDECIN GÉNÉRALISTE
E101,84,1,CSZ,168,1053,200071751,1125,1,0,TAXI-VTC
A507,84,1,CSZ,80,39475,200071751,1127,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
A301,84,1,CSZ,CSZ,1305,200071751,1128,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
D605,84,1,CSZ,CSZ,1305,200071751,1128,1,0,TRAVAIL PROTÉGÉ
A507,84,1,CSZ,2,1244,200069193,1129,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
A507,84,1,1126,84,1134,200070555,1134,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
A506,84,1,1111,652,1034,200040350,1138,1,0,PRESSING-LAVERIE AUTOMATIQUE
